subject,category,term,definition,,,
LC AgScience,Soil Science,Soil Texture,"The relative proportion of sand, silt, and clay particles in a soil.",,,
LC AgScience,Soil Science,Soil Structure,The arrangement of soil particles into aggregates or peds.,,,
LC AgScience,Soil Science,Loam,"A type of soil with a balanced mixture of sand, silt, and clay, considered ideal for agriculture.",,,
LC AgScience,Soil Science,Humus,Decomposed organic matter in the soil that improves fertility and structure.,,,
LC AgScience,Soil Science,Soil pH,A measure of the acidity or alkalinity of the soil.,,,
LC AgScience,Soil Science,Flocculation,"The process where clay particles clump together, aided by calcium ions.",,,
LC AgScience,Soil Science,Leaching,The process where soluble nutrients are washed down through the soil profile by water.,,,
LC AgScience,Soil Science,Macronutrients,"Essential nutrients required by plants in large quantities (e.g., N, P, K).",,,
LC AgScience,Soil Science,Micronutrients,"Essential nutrients required by plants in small quantities (e.g., Fe, Mn, Zn).",,,
LC AgScience,Soil Science,Nitrogen Fixation,The conversion of atmospheric nitrogen gas into ammonia by certain bacteria.,,,
LC AgScience,Soil Science,Nitrification,The oxidation of ammonium compounds in soil to nitrates and nitrites by soil bacteria.,,,
LC AgScience,Soil Science,Denitrification,The conversion of nitrates in the soil back into atmospheric nitrogen gas by bacteria.,,,
LC AgScience,Soil Science,Slurry,"A mixture of animal manure and water, used as a fertilizer.",,,
LC AgScience,Soil Science,FYM (Farm Yard Manure),"A mixture of animal excreta and bedding material, used as a fertilizer.",,,
LC AgScience,Soil Science,Lime,"Calcium carbonate or calcium hydroxide, applied to soil to increase pH and improve structure.",,,
LC AgScience,Plant Science,Photosynthesis,"The process by which green plants use sunlight, water, and carbon dioxide to create their own food (glucose).",,,
LC AgScience,Plant Science,Respiration,The process in which cells break down glucose to release energy for life processes.,,,
LC AgScience,Plant Science,Transpiration,"The loss of water vapour from a plant, mainly through the stomata in the leaves.",,,
LC AgScience,Plant Science,Turgor,The pressure of the cell contents against the cell wall in plant cells.,,,
LC AgScience,Plant Science,Osmosis,The movement of water across a semi-permeable membrane from a region of high water concentration to a region of low water concentration.,,,
LC AgScience,Plant Science,Xylem,The tissue in plants that transports water and dissolved minerals from the roots to the rest of the plant.,,,
LC AgScience,Plant Science,Phloem,The tissue in plants that transports sugars (food) from the leaves to other parts of the plant.,,,
LC AgScience,Plant Science,Stomata,"Pores on the surface of a leaf that allow for gas exchange (CO2 in, O2 and H2O out).",,,
LC AgScience,Plant Science,Pollination,The transfer of pollen from the anther to the stigma of a flower.,,,
LC AgScience,Plant Science,Fertilisation (in plants),The fusion of the male gamete (from pollen) with the female gamete (in the ovule).,,,
LC AgScience,Plant Science,Germination,The process where a seed begins to sprout and grow into a seedling.,,,
LC AgScience,Plant Science,Dormancy,"A period of reduced metabolic activity in plants, often during winter.",,,
LC AgScience,Plant Science,Phototropism,The growth of a plant in response to a light stimulus.,,,
LC AgScience,Plant Science,Geotropism,The growth of a plant in response to gravity.,,,
LC AgScience,Plant Science,Asexual Reproduction (in plants),"Reproduction without the fusion of gametes, producing genetically identical offspring (e.g., runners, bulbs).",,,
LC AgScience,Plant Science,Sexual Reproduction (in plants),"Reproduction involving the fusion of male and female gametes, producing genetically diverse offspring.",,,
LC AgScience,Plant Science,Silage,"Grass or other green fodder that is compacted and stored in airtight conditions, typically in a silo, without first being dried.",,,
LC AgScience,Plant Science,Hay,Grass that has been cut and dried for use as animal fodder.,,,
